AXISBANK: ROE anomaly | computed=1.88, source=18.4
AXISBANK: ROCE anomaly | computed=16.01, source=7.06
AXISBANK: High D/E suppressed (Financial sector)
AXISBANK: ROE anomaly | computed=6.36, source=18.4
AXISBANK: ROCE anomaly | computed=16.02, source=7.06
AXISBANK: High D/E suppressed (Financial sector)
AXISBANK: ROE anomaly | computed=11.01, source=18.4
AXISBANK: ROCE anomaly | computed=16.10, source=7.06
AXISBANK: High D/E suppressed (Financial sector)
AXISBANK: ROE anomaly | computed=7.38, source=18.4
AXISBANK: ROCE anomaly | computed=12.39, source=7.06
AXISBANK: High D/E suppressed (Financial sector)
AXISBANK: ROCE anomaly | computed=15.66, source=7.06
BAJAJFINSV: ROE anomaly | computed=28.38, source=11.72
BAJAJFINSV: ROE anomaly | computed=23.53, source=11.72
BAJAJFINSV: ROCE anomaly | computed=28.50, source=21.14
BAJAJFINSV: ROE anomaly | computed=21.72, source=11.72
BAJAJFINSV: ROE anomaly | computed=20.41, source=11.72
BAJAJFINSV: ROE anomaly | computed=21.36, source=11.72
BAJAJFINSV: ROE anomaly | computed=20.39, source=11.72
BAJAJFINSV: ROE anomaly | computed=22.64, source=11.72
BAJAJFINSV: ROE anomaly | computed=19.15, source=11.72
BAJAJFINSV: ROE anomaly | computed=20.56, source=11.72
BAJAJFINSV: ROE anomaly | computed=20.66, source=11.72
BAJAJFINSV: ROE anomaly | computed=26.31, source=11.72
BAJAJFINSV: ROE anomaly | computed=25.85, source=11.72
BAJAJHLDNG: ROCE anomaly | computed=30.79, source=13.1
BAJAJHLDNG: ROCE anomaly | computed=30.12, source=13.1
BAJAJHLDNG: ROCE anomaly | computed=29.15, source=13.1
BAJAJHLDNG: ROCE anomaly | computed=28.61, source=13.1
BAJAJHLDNG: ROCE anomaly | computed=24.45, source=13.1
BAJAJHLDNG: ROCE anomaly | computed=25.15, source=13.1
BAJAJHLDNG: ROCE anomaly | computed=24.40, source=13.1
BAJAJHLDNG: ROCE anomaly | computed=21.45, source=13.1
BAJAJHLDNG: ROCE anomaly | computed=22.90, source=13.1
BAJAJHLDNG: ROE anomaly | computed=9.63, source=14.8
BAJAJHLDNG: ROCE anomaly | computed=22.51, source=13.1
BAJAJHLDNG: ROCE anomaly | computed=22.31, source=13.1
BAJAJHLDNG: ROCE anomaly | computed=28.22, source=13.1
BAJFINANCE: High D/E suppressed (Financial sector)
BAJFINANCE: ROCE anomaly | computed=17.96, source=11.9
BAJFINANCE: ROCE anomaly | computed=17.20, source=11.9
BAJFINANCE: High D/E suppressed (Financial sector)
BAJFINANCE: ROCE anomaly | computed=17.97, source=11.9
BAJFINANCE: ROE anomaly | computed=15.75, source=22.1
BAJFINANCE: High D/E suppressed (Financial sector)
BAJFINANCE: ROCE anomaly | computed=17.45, source=11.9
BAJFINANCE: ROE anomaly | computed=16.28, source=22.1
BAJFINANCE: ROCE anomaly | computed=17.59, source=11.9
BAJFINANCE: ROE anomaly | computed=11.97, source=22.1
BAJFINANCE: ROCE anomaly | computed=17.46, source=11.9
